ts,endpoint,code,ms
09:29:33,/cursos,500,64
09:29:34,/health,200,64
09:29:34,/cursos,200,442
09:29:35,/health,200,60
09:29:35,/cursos,200,63
09:29:36,/health,200,60
09:29:36,/cursos,200,63
09:29:37,/health,200,59
09:29:37,/cursos,200,62
09:29:38,/health,200,61
09:29:38,/cursos,200,62
09:29:38,/health,200,62
09:29:38,/cursos,200,67
09:29:39,/health,200,63
09:29:39,/cursos,200,66
09:29:40,/health,200,62
09:29:40,/cursos,200,64
09:29:41,/health,200,65
09:29:41,/cursos,200,64
09:29:42,/health,200,59
09:29:42,/cursos,200,68
09:29:43,/health,200,60
09:29:43,/cursos,200,66
09:29:43,/health,200,60
09:29:43,/cursos,200,64
09:29:44,/health,200,65
09:29:44,/cursos,200,66
09:29:45,/health,200,61
09:29:45,/cursos,200,65
09:29:46,/health,200,60
09:29:46,/cursos,200,64
09:29:47,/health,200,62
09:29:47,/cursos,200,65
09:29:48,/health,200,62
09:29:48,/cursos,200,62
09:29:48,/health,200,62
09:29:49,/cursos,200,65
09:29:49,/health,200,60
09:29:49,/cursos,200,65
09:29:50,/health,200,59
09:29:50,/cursos,200,71
09:29:51,/health,200,64
09:29:51,/cursos,200,63
09:29:52,/health,200,62
09:29:52,/cursos,200,65
09:29:53,/health,200,62
09:29:53,/cursos,200,66
09:29:53,/health,200,62
09:29:54,/cursos,200,66
09:29:54,/health,200,61
09:29:54,/cursos,200,64
09:29:55,/health,200,62
09:29:55,/cursos,200,64
09:29:56,/health,200,62
09:29:56,/cursos,200,66
09:29:59,/health,200,2636
09:29:59,/cursos,200,70
09:30:00,/health,200,63
09:30:00,/cursos,200,64
09:30:01,/health,200,63
09:30:01,/cursos,200,66
09:30:02,/health,200,62
09:30:02,/cursos,200,64
09:30:03,/health,200,62
09:30:03,/cursos,200,64
09:30:04,/health,200,63
09:30:04,/cursos,200,65
09:30:04,/health,200,64
09:30:04,/cursos,200,65
09:30:05,/health,200,62
09:30:05,/cursos,200,65
09:30:06,/health,200,62
09:30:06,/cursos,200,66
09:30:07,/health,200,62
09:30:07,/cursos,200,62
