ts,endpoint,code,ms
09:25:58,/cursos,200,65
09:25:59,/health,200,60
09:25:59,/cursos,200,63
09:25:59,/health,200,62
09:25:59,/cursos,200,66
09:26:00,/health,200,60
09:26:00,/cursos,200,61
09:26:01,/health,200,60
09:26:01,/cursos,200,66
09:26:02,/health,200,63
09:26:02,/cursos,200,64
09:26:03,/health,200,61
09:26:03,/cursos,200,62
09:26:04,/health,200,61
09:26:04,/cursos,200,64
09:26:04,/health,200,62
09:26:04,/cursos,200,67
09:26:05,/health,200,62
09:26:05,/cursos,200,61
09:26:06,/health,200,62
09:26:06,/cursos,200,64
09:26:07,/health,200,64
09:26:07,/cursos,200,64
09:26:08,/health,200,62
09:26:08,/cursos,200,65
09:26:09,/health,200,60
09:26:09,/cursos,200,65
09:26:09,/health,200,63
09:26:09,/cursos,200,62
09:26:10,/health,200,63
09:26:10,/cursos,200,64
09:26:11,/health,200,62
09:26:11,/cursos,200,66
09:26:12,/health,200,63
09:26:12,/cursos,200,63
09:26:13,/health,200,63
09:26:13,/cursos,200,63
09:26:14,/health,200,63
09:26:14,/cursos,200,62
09:26:14,/health,200,62
09:26:14,/cursos,200,66
09:26:15,/health,200,62
09:26:15,/cursos,200,64
09:26:16,/health,200,63
09:26:16,/cursos,200,64
09:26:17,/health,200,64
09:26:17,/cursos,200,66
09:26:18,/health,200,60
09:26:18,/cursos,200,62
09:26:19,/health,200,61
09:26:19,/cursos,200,68
09:26:19,/health,200,62
09:26:20,/cursos,200,63
09:26:20,/health,200,64
09:26:20,/cursos,200,64
09:26:21,/health,200,59
09:26:21,/cursos,200,62
09:26:22,/health,200,60
09:26:22,/cursos,200,65
09:26:23,/health,200,62
09:26:23,/cursos,200,61
09:26:24,/health,200,64
09:26:24,/cursos,200,65
09:26:24,/health,200,69
09:26:25,/cursos,200,64
09:26:25,/health,200,61
09:26:25,/cursos,200,62
09:26:26,/health,200,60
09:26:26,/cursos,200,61
09:26:27,/health,200,61
09:26:27,/cursos,200,63
09:26:28,/health,200,61
09:26:28,/cursos,200,63
09:26:29,/health,200,62
09:26:29,/cursos,200,63
09:26:29,/health,200,61
09:26:30,/cursos,200,66
09:26:30,/health,200,61
09:26:30,/cursos,200,67
09:26:31,/health,200,64
09:26:31,/cursos,200,66
09:26:32,/health,200,62
09:26:32,/cursos,200,65
09:26:33,/health,200,62
09:26:33,/cursos,200,64
09:26:34,/health,200,63
09:26:34,/cursos,200,63
09:26:35,/health,200,60
09:26:35,/cursos,200,62
09:26:35,/health,200,62
09:26:35,/cursos,200,66
09:26:36,/health,200,62
09:26:36,/cursos,200,65
09:26:37,/health,200,61
09:26:37,/cursos,200,63
09:26:38,/health,200,59
09:26:38,/cursos,200,64
09:26:39,/health,200,61
09:26:39,/cursos,200,62
09:26:40,/health,200,59
09:26:40,/cursos,200,62
09:26:40,/health,200,60
09:26:40,/cursos,200,61
09:26:41,/health,200,60
09:26:41,/cursos,200,63
09:26:42,/health,200,59
09:26:42,/cursos,200,62
09:26:43,/health,200,59
09:26:43,/cursos,200,61
09:26:44,/health,200,61
09:26:44,/cursos,200,68
09:26:45,/health,200,60
09:26:45,/cursos,200,62
09:26:45,/health,200,62
09:26:45,/cursos,200,63
09:26:46,/health,200,60
09:26:46,/cursos,200,64
09:26:47,/health,200,60
09:26:47,/cursos,200,64
09:26:48,/health,200,62
09:26:48,/cursos,200,65
09:26:49,/health,200,62
09:26:49,/cursos,200,65
09:26:50,/health,200,64
09:26:50,/cursos,200,64
09:26:50,/health,200,66
09:26:50,/cursos,200,64
09:26:51,/health,200,62
09:26:51,/cursos,200,65
09:26:52,/health,200,60
09:26:52,/cursos,200,64
09:26:53,/health,200,62
09:26:53,/cursos,200,64
09:26:54,/health,200,63
09:26:54,/cursos,200,63
09:26:55,/health,200,62
09:26:55,/cursos,200,63
09:26:55,/health,200,63
09:26:55,/cursos,200,66
09:26:56,/health,200,61
09:26:56,/cursos,200,63
09:26:57,/health,200,64
09:26:57,/cursos,200,64
09:26:58,/health,200,61
09:26:58,/cursos,200,65
09:26:59,/health,200,60
09:26:59,/cursos,200,62
09:27:00,/health,200,60
09:27:00,/cursos,200,64
09:27:00,/health,200,67
09:27:00,/cursos,200,65
09:27:01,/health,200,62
09:27:01,/cursos,200,64
09:27:02,/health,200,62
09:27:02,/cursos,200,66
09:27:03,/health,200,61
09:27:03,/cursos,200,63
09:27:04,/health,200,65
09:27:04,/cursos,200,61
09:27:05,/health,200,60
09:27:05,/cursos,200,65
09:27:05,/health,200,62
09:27:06,/cursos,200,64
09:27:06,/health,200,62
09:27:06,/cursos,200,63
09:27:07,/health,200,64
09:27:07,/cursos,200,64
09:27:08,/health,200,63
09:27:08,/cursos,200,64
09:27:09,/health,200,62
09:27:09,/cursos,200,66
09:27:10,/health,200,61
09:27:10,/cursos,200,65
09:27:11,/health,200,60
09:27:11,/cursos,200,62
09:27:11,/health,200,63
09:27:11,/cursos,200,62
09:27:12,/health,200,62
09:27:12,/cursos,200,65
09:27:13,/health,200,62
09:27:13,/cursos,200,64
09:27:14,/health,200,64
09:27:14,/cursos,200,64
09:27:15,/health,200,63
09:27:15,/cursos,200,65
09:27:16,/health,200,62
09:27:16,/cursos,200,65
09:27:16,/health,200,60
09:27:16,/cursos,200,61
09:27:17,/health,200,62
09:27:17,/cursos,200,64
09:27:18,/health,200,62
09:27:18,/cursos,200,62
09:27:19,/health,200,62
09:27:19,/cursos,200,66
09:27:20,/health,200,61
09:27:20,/cursos,200,63
09:27:21,/health,200,64
09:27:21,/cursos,200,63
09:27:21,/health,200,62
09:27:21,/cursos,200,64
09:27:22,/health,200,60
09:27:22,/cursos,200,62
09:27:23,/health,200,59
09:27:23,/cursos,200,61
09:27:24,/health,200,60
09:27:24,/cursos,200,62
09:27:25,/health,200,64
09:27:25,/cursos,200,63
09:27:26,/health,200,63
09:27:26,/cursos,200,66
09:27:26,/health,200,62
09:27:26,/cursos,200,62
09:27:27,/health,200,62
09:27:27,/cursos,200,62
09:27:28,/health,200,63
09:27:28,/cursos,200,64
09:27:29,/health,200,59
09:27:29,/cursos,200,63
09:27:30,/health,200,60
09:27:30,/cursos,200,62
09:27:31,/health,200,60
09:27:31,/cursos,200,68
09:27:31,/health,200,61
09:27:31,/cursos,200,62
09:27:32,/health,200,62
09:27:32,/cursos,200,66
09:27:33,/health,200,62
09:27:33,/cursos,200,64
09:27:34,/health,200,64
09:27:34,/cursos,200,62
09:27:35,/health,200,60
09:27:35,/cursos,200,63
09:27:36,/health,200,62
09:27:36,/cursos,200,67
09:27:36,/health,200,62
09:27:37,/cursos,200,67
09:27:37,/health,200,62
09:27:37,/cursos,200,67
09:27:38,/health,200,63
09:27:38,/cursos,200,63
09:27:39,/health,200,60
09:27:39,/cursos,200,66
09:27:40,/health,200,61
09:27:40,/cursos,200,65
09:27:41,/health,200,62
09:27:41,/cursos,200,66
09:27:42,/health,200,62
09:27:42,/cursos,200,64
09:27:42,/health,200,61
09:27:42,/cursos,200,65
09:27:43,/health,200,62
09:27:43,/cursos,200,65
09:27:44,/health,200,63
09:27:44,/cursos,200,63
09:27:45,/health,200,62
09:27:45,/cursos,200,63
